iso2c,year,yrcurnt_corrected,election_month
AT,1975,0,10
AT,1976,4,
AT,1977,3,
AT,1978,2,
AT,1979,0,5
AT,1980,4,
AT,1981,3,
AT,1982,2,
AT,1983,0,4
AT,1984,4,
AT,1985,3,
AT,1986,0,11
AT,1987,4,
AT,1988,3,
AT,1989,2,
AT,1990,0,10
AT,1991,4,
AT,1992,3,
AT,1993,2,
AT,1994,0,10
AT,1995,0,12
AT,1996,4,
AT,1997,3,
AT,1998,2,
AT,1999,0,10
AT,2000,4,
AT,2001,3,
AT,2002,0,11
AT,2003,4,
AT,2004,3,
AT,2005,2,
AT,2006,0,10
AT,2007,4,
AT,2008,0,9
AT,2009,4,
AT,2010,3,
AT,2011,2,
AT,2012,1,
AU,1975,0,12
AU,1976,2,
AU,1977,0,12
AU,1978,2,
AU,1979,1,
AU,1980,0,10
AU,1981,2,
AU,1982,1,
AU,1983,0,3
AU,1984,0,12
AU,1985,2,
AU,1986,1,
AU,1987,0,7
AU,1988,2,
AU,1989,1,
AU,1990,0,3
AU,1991,2,
AU,1992,1,
AU,1993,0,3
AU,1994,2,
AU,1995,1,
AU,1996,0,3
AU,1997,2,
AU,1998,0,10
AU,1999,2,
AU,2000,1,
AU,2001,0,11
AU,2002,2,
AU,2003,1,
AU,2004,0,10
AU,2005,2,
AU,2006,1,
AU,2007,0,11
AU,2008,2,
AU,2009,1,
AU,2010,0,8
AU,2011,2,
AU,2012,1,
BE,1975,3,
BE,1976,2,
BE,1977,0,4
BE,1978,0,12
BE,1979,3,
BE,1980,2,
BE,1981,0,11
BE,1982,3,
BE,1983,2,
BE,1984,1,
BE,1985,0,10
BE,1986,3,
BE,1987,0,12
BE,1988,3,
BE,1989,2,
BE,1990,1,
BE,1991,0,11
BE,1992,3,
BE,1993,2,
BE,1994,1,
BE,1995,0,5
BE,1996,3,
BE,1997,2,
BE,1998,1,
BE,1999,0,6
BE,2000,3,
BE,2001,2,
BE,2002,1,
BE,2003,0,5
BE,2004,3,
BE,2005,2,
BE,2006,1,
